,Unnamed: 0,project_value,nlp_x,nlp_y,cluster,permit_id
6434,6434,10000.0,0.3946385626317047,-0.3387886813906698,5,R2025-06434
6435,6435,10000.0,0.3946385626317047,-0.3387886813906698,5,R2025-06435
6436,6436,25265.25198938992,0.3741868171975416,-0.2655219504039328,0,R2023-06436
6437,6437,20000.0,0.3347967508935953,-0.2636617977141888,0,R2024-06437
6438,6438,20000.0,0.4267169430128131,-0.3215737071992858,5,R2024-06438
6439,6439,10000.0,0.3946385626317047,-0.3387886813906698,5,R2025-06439
6440,6440,10000.0,0.3946385626317047,-0.3387886813906698,0,R2025-06440
6441,6441,51255.60538116592,0.2747830525420138,0.2588771592516171,1,R2019-06441
6442,6442,13288.414349775783,0.2300563831058996,-0.0297446214146337,1,R2019-06442
6443,6443,11734.196322869955,0.2300563831058996,-0.0297446214146337,1,R2019-06443
6444,6444,19979.6067006555,0.3985489529819802,-0.167534440828278,0,R2021-06444
6445,6445,4439.912600145666,0.3330814750543954,-0.1026197925851234,0,R2021-06445
6446,6446,113308.5501858736,0.3514594671495895,-0.148440797021691,0,R2020-06446
6447,6447,216445.73925710123,0.2918003119767123,-0.0959794407048208,0,R2021-06447
6448,6448,113901.3452914798,0.3471291575185799,-0.1255759515055899,0,R2019-06448
6449,6449,5549.890750182082,0.2924423513971055,-0.0393250198612269,0,R2021-06449
6450,6450,11952.94117647059,0.3996502469786888,-0.1601896586498268,0,R2017-06450
6451,6451,20000.0,0.285904456273533,-0.1747107762448074,0,R2024-06451
6452,6452,200000.0,0.4630779058318531,-0.3320759635855651,0,R2024-06452
6453,6453,14163.5687732342,0.1037689530889626,0.1175858485648355,1,R2020-06453
6454,6454,17882.51121076233,0.3041445547034794,-0.0565942786131987,0,R2019-06454
6455,6455,1000000.0,0.2354032761641783,-0.0118041190506941,2,R2024-06455
6456,6456,20000.0,0.3784060102933165,-0.3160763102307648,5,R2024-06456
6457,6457,20000.0,0.3946385626317047,-0.3387886813906698,0,R2024-06457
6458,6458,10000.0,0.3055708434982066,-0.075611374651852,0,R2025-06458
6459,6459,175000.0,0.2585838714661737,0.0495387956020531,2,R2025-06459
6460,6460,74900.0,0.2429016662949164,0.3675908025111319,3,R2024-06460
6461,6461,75290.45092838196,0.2396501770184672,0.2156258339258614,3,R2023-06461
6462,6462,3585.8823529411766,0.2403340946453886,-0.0537246542566042,0,R2017-06462
6463,6463,468762.8161312372,0.4765125421658914,0.0010890107729093,0,R2022-06463
6464,6464,554989.0750182082,0.3908006849650691,-0.0217554476303646,0,R2021-06464
6465,6465,283271.375464684,0.40227199715556,0.0363570029712898,0,R2020-06465
6466,6466,174904.36113236425,0.367367768728496,0.0280925132178279,0,R2018-06466
6467,6467,75795.75596816976,0.31726955466875,0.1764393501568391,1,R2023-06467
6468,6468,10000.0,0.3946385626317047,-0.3387886813906698,5,R2025-06468
6469,6469,10000.0,0.3099082896906378,-0.198036641654698,0,R2025-06469
6470,6470,4781.176470588235,0.3245863234469847,0.6346765603210529,3,R2017-06470
6471,6471,62645.739910313896,0.3238860951773671,0.1453189509515994,1,R2019-06471
6472,6472,11330.85501858736,0.2618440323023712,0.1635441578859105,1,R2020-06472
6473,6473,36441.9066564652,0.4197929424237308,-0.068475296990636,0,R2018-06473
6474,6474,87452.18056618211,0.2209366960521765,0.1560007919450297,0,R2018-06474
6475,6475,277494.5375091041,0.261991535139506,0.2273279053276101,2,R2021-06475
6476,6476,6592.047058823529,0.2653387759733039,-0.038490517371832,0,R2017-06476
6477,6477,46641.16296863046,0.3969728583957831,0.0132699246826537,1,R2018-06477
6478,6478,221995.6300072833,0.4605288962869749,-0.1168212272453851,0,R2021-06478
6479,6479,205022.4215246637,0.3115022222296063,-0.0846054377468662,0,R2019-06479
6480,6480,349808.72226472845,0.4312279953596086,-0.0217259867278328,0,R2018-06480
6481,6481,29882.352941176472,0.3050747162068048,0.2660534463941303,3,R2017-06481
6482,6482,151591.51193633952,0.2366095084352132,0.1202340427617816,1,R2023-06482
6483,6483,16018.136470588235,0.3031205282517052,-0.0611649587086596,0,R2017-06483
6484,6484,21089.58485069192,0.3215165487902836,0.4416214550107547,3,R2021-06484
